Company,Valuation ($B),Date Joined,Year Joined,Month Joined,Day Joined,Industry,City,Country,Continent,Years to Unicorn,Year Founded,Funding ($B),Investor 1,Investor 2,Investor 3,Investor 4,Investors
Bytedance,180,4/7/17,2017,04,07,Artificial intelligence,Beijing,China,Asia,5,2012,8,Sequoia Capital China, SIG Asia Investments, Sina Weibo, Softbank Group,"Sequoia Capital China, SIG Asia Investments, Sina Weibo, Softbank Group"
SpaceX,100,12/1/12,2012,12,01,Other,Hawthorne,United States,North America,10,2002,7,Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures,,"Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures"
SHEIN,100,7/3/18,2018,07,03,E-commerce & direct-to-consumer,Shenzhen,China,Asia,10,2008,2,Tiger Global Management, Sequoia Capital China, Shunwei Capital Partners,,"Tiger Global Management, Sequoia Capital China, Shunwei Capital Partners"
Stripe,95,1/23/14,2014,01,23,Fintech,San Francisco,United States,North America,4,2010,2,Khosla Ventures, LowercaseCapital, capitalG,,"Khosla Ventures, LowercaseCapital, capitalG"
Klarna,46,12/12/11,2011,12,12,Fintech,Stockholm,Sweden,Europe,6,2005,4,Institutional Venture Partners, Sequoia Capital, General Atlantic,,"Institutional Venture Partners, Sequoia Capital, General Atlantic"
Canva,40,1/8/18,2018,01,08,Internet software & services,Surry Hills,Australia,Oceania,6,2012,0.572,Sequoia Capital China, Blackbird Ventures, Matrix Partners,,"Sequoia Capital China, Blackbird Ventures, Matrix Partners"
Checkout.com,40,5/2/19,2019,05,02,Fintech,London,United Kingdom,Europe,7,2012,2,Tiger Global Management, Insight Partners, DST Global,,"Tiger Global Management, Insight Partners, DST Global"
Instacart,39,12/30/14,2014,12,30,"Supply chain, logistics, & delivery",San Francisco,United States,North America,2,2012,3,Khosla Ventures, Kleiner Perkins Caufield & Byers, Collaborative Fund,,"Khosla Ventures, Kleiner Perkins Caufield & Byers, Collaborative Fund"
JUUL Labs,38,12/20/17,2017,12,20,Consumer & retail,San Francisco,United States,North America,2,2015,14,Tiger Global Management,,,,Tiger Global Management
Databricks,38,2/5/19,2019,02,05,Data management & analytics,San Francisco,United States,North America,6,2013,3,Andreessen Horowitz, New Enterprise Associates, Battery Ventures,,"Andreessen Horowitz, New Enterprise Associates, Battery Ventures"
Revolut,33,4/26/18,2018,04,26,Fintech,London,United Kingdom,Europe,3,2015,2,index Ventures, DST Global, Ribbit Capital,,"index Ventures, DST Global, Ribbit Capital"
Epic Games,32,10/26/18,2018,10,26,Other,Cary,United States,North America,27,1991,7,Tencent Holdings, KKR, Smash Ventures,,"Tencent Holdings, KKR, Smash Ventures"
FTX,32,7/20/21,2021,07,20,Fintech,,Bahamas,North America,3,2018,2,Sequoia Capital, Thoma Bravo, Softbank,,"Sequoia Capital, Thoma Bravo, Softbank"
Fanatics,27,6/6/12,2012,06,06,E-commerce & direct-to-consumer,Jacksonville,United States,North America,10,2002,4,SoftBank Group, Andreessen Horowitz, Temasek Holdings,,"SoftBank Group, Andreessen Horowitz, Temasek Holdings"
Chime,25,3/5/19,2019,03,05,Fintech,San Francisco,United States,North America,6,2013,2,Forerunner Ventures, Crosslink Capital, Homebrew,,"Forerunner Ventures, Crosslink Capital, Homebrew"
BYJU's,22,7/25/17,2017,07,25,Edtech,Bengaluru,India,Asia,9,2008,4,Tencent Holdings, Lightspeed India Partners, Sequoia Capital India,,"Tencent Holdings, Lightspeed India Partners, Sequoia Capital India"
J&T Express,20,4/7/21,2021,04,07,"Supply chain, logistics, & delivery",Jakarta,Indonesia,Asia,6,2015,5,Hillhouse Capital Management, Boyu Capital, Sequoia Capital China,,"Hillhouse Capital Management, Boyu Capital, Sequoia Capital China"
Xiaohongshu,20,3/31/16,2016,03,31,E-commerce & direct-to-consumer,Shanghai,China,Asia,3,2013,0.918,GGV Capital, ZhenFund, Tencent,,"GGV Capital, ZhenFund, Tencent"
Miro,18,1/5/22,2022,01,05,Internet software & services,San Francisco,United States,North America,11,2011,0.476,Accel, AltaIR Capital, Technology Crossover Ventures,,"Accel, AltaIR Capital, Technology Crossover Ventures"
Yuanfudao,17,5/31/17,2017,05,31,Edtech,Beijing,China,Asia,5,2012,4,Tencent Holdings, Warbug Pincus, IDG Capital,,"Tencent Holdings, Warbug Pincus, IDG Capital"
Rapyd,15,12/3/19,2019,12,03,Fintech,London,United Kingdom,Europe,3,2016,0.77,Target Global, General Catalyst, Durable Capital Partners,,"Target Global, General Catalyst, Durable Capital Partners"
Discord,15,4/20/18,2018,04,20,Internet software & services,San Francisco,United States,North America,6,2012,0.979,Benchmark, Greylock Partners, Tencent Holdings,,"Benchmark, Greylock Partners, Tencent Holdings"
Genki Forest,15,3/1/20,2020,03,01,Consumer & retail,Beijing,China,Asia,4,2016,0.721,Sequoia Capital China, Longfor Capitalm, Gaorong Capital,,"Sequoia Capital China, Longfor Capitalm, Gaorong Capital"
goPuff,15,10/8/20,2020,10,08,E-commerce & direct-to-consumer,Philadelphia,United States,North America,7,2013,3,Accel, Softbank Group, Anthos Capital,,"Accel, Softbank Group, Anthos Capital"
Blockchain.com,14,2/17/21,2021,02,17,Fintech,London,United Kingdom,Europe,10,2011,0.49,Lightspeed Venture Partners, Google Ventures, Lakestar,,"Lightspeed Venture Partners, Google Ventures, Lakestar"
Plaid,13,12/11/18,2018,12,11,Fintech,San Francisco,United States,North America,6,2012,0.734,New Enterprise Associates, Spar Capital, Index Ventures,,"New Enterprise Associates, Spar Capital, Index Ventures"
Devoted Health,13,10/16/18,2018,10,16,Health,Waltham,United States,North America,1,2017,2,Andreessen Horowitz, F-Prime Capital, Venrock,,"Andreessen Horowitz, F-Prime Capital, Venrock"
OpenSea,13,7/20/21,2021,07,20,E-commerce & direct-to-consumer,New York,United States,North America,4,2017,0.427,Andreessen Horowitz, Thirty Five Ventures, Sound Ventures,,"Andreessen Horowitz, Thirty Five Ventures, Sound Ventures"
Grammarly,13,10/10/19,2019,10,10,Internet software & services,San Francisco,United States,North America,10,2009,0.4,General Catalyst, Institutional Venture Partners, Breyer Capital,,"General Catalyst, Institutional Venture Partners, Breyer Capital"
Argo AI,12,7/12/19,2019,07,12,Artificial intelligence,Pittsburgh,United States,North America,3,2016,4,Volkswagen Group, Ford Autonomous Vehicles,,,"Volkswagen Group, Ford Autonomous Vehicles"
Northvolt,12,6/12/19,2019,06,12,Other,Stockholm,Sweden,Europe,3,2016,4,Vattenfall, Volkswagen Group, Goldman Sachs,,"Vattenfall, Volkswagen Group, Goldman Sachs"
Faire,12,10/30/19,2019,10,30,Artificial intelligence,San Francisco,United States,North America,2,2017,1,Khosla Ventures, Forerunner Ventures, Sequoia Capital,,"Khosla Ventures, Forerunner Ventures, Sequoia Capital"
Airtable,12,11/15/18,2018,11,15,Internet software & services,San Francisco,United States,North America,5,2013,1,Caffeinated Capital, CRV, Founder Collective,,"Caffeinated Capital, CRV, Founder Collective"
Brex,12,10/5/18,2018,10,05,Fintech,San Francisco,United States,North America,1,2017,1,DST Global, Ribbit Capital, Greenoaks Capital Management,,"DST Global, Ribbit Capital, Greenoaks Capital Management"
Getir,12,3/26/21,2021,03,26,E-commerce & direct-to-consumer,Istanbul,Turkey,Europe,6,2015,2,Tiger Global Management, Sequoia Capital, Revo Capital,,"Tiger Global Management, Sequoia Capital, Revo Capital"
Biosplice Therapeutics,12,8/6/18,2018,08,06,Health,San Diego,United States,North America,10,2008,0.799,Vickers Venture Partners, IKEA GreenTech,,,"Vickers Venture Partners, IKEA GreenTech"
Bitmain,12,7/6/18,2018,07,06,Hardware,Beijing,China,Asia,3,2015,0.765,Coatue Management, Sequoia Capital China, IDG Capital,,"Coatue Management, Sequoia Capital China, IDG Capital"
GoodLeap,12,10/13/21,2021,10,13,Internet software & services,Roseville,United States,North America,18,2003,0.8,New Enterprise Associates, BDT Capital Partners, Davidson Kempner Capital Management,,"New Enterprise Associates, BDT Capital Partners, Davidson Kempner Capital Management"
Xingsheng Selected,12,7/22/20,2020,07,22,E-commerce & direct-to-consumer,Changsha,China,Asia,11,2009,5,KKR, Tencent Holdings, Sequoia Capital China,,"KKR, Tencent Holdings, Sequoia Capital China"
ZongMu Technology,11,6/3/21,2021,06,03,Auto & transportation,Shanghai,China,Asia,8,2013,0.376,LTW Capital, Legend Capital, Qualcomm Ventures,,"LTW Capital, Legend Capital, Qualcomm Ventures"
Bolt,11,5/29/18,2018,05,29,Auto & transportation,Tallinn,Estonia,Europe,5,2013,1,Didi Chuxing, Diamler, TMT Investments,,"Didi Chuxing, Diamler, TMT Investments"
Swiggy,11,6/21/18,2018,06,21,"Supply chain, logistics, & delivery",Bengaluru,India,Asia,4,2014,5,Accel India, SAIF Partners, Norwest Venture Partners,,"Accel India, SAIF Partners, Norwest Venture Partners"
Weilong Foods,11,5/8/21,2021,05,08,Consumer & retail,Luohe,China,Asia,22,1999,0.558,Tencent Holdings, Hillhouse Capital Management, Yunfeng Capital,,"Tencent Holdings, Hillhouse Capital Management, Yunfeng Capital"
Global Switch,11,12/22/16,2016,12,22,Hardware,London,United Kingdom,Europe,18,1998,5,Aviation Industry Corporation of China, Essence Financial, Jiangsu Sha Steel Group,,"Aviation Industry Corporation of China, Essence Financial, Jiangsu Sha Steel Group"
Bolt,11,10/8/21,2021,10,08,Fintech,San Francisco,United States,North America,7,2014,1,Activant Capital, Tribe Capital, General Atlantic,,"Activant Capital, Tribe Capital, General Atlantic"
Celonis,11,6/26/18,2018,06,26,Data management & analytics,Munich,Germany,Europe,7,2011,1,Accel, 83North,,,"Accel, 83North"
Zuoyebang,10,7/18/18,2018,07,18,Edtech,Beijing,China,Asia,4,2014,3,Sequoia Capital China, Xiang He Capital, GGV Capital,,"Sequoia Capital China, Xiang He Capital, GGV Capital"
Ripple,10,12/20/19,2019,12,20,Fintech,San Francisco,United States,North America,7,2012,0.294,IDG Capital, Venture51, Lightspeed Venture Partners,,"IDG Capital, Venture51, Lightspeed Venture Partners"
OYO Rooms,10,9/25/18,2018,09,25,Travel,Gurugram,India,Asia,6,2012,3,SoftBank Group, Sequoia Capital India,Lightspeed India Partners,,"SoftBank Group, Sequoia Capital India,Lightspeed India Partners"
OutSystems,10,6/5/18,2018,06,05,Internet software & services,Boston,United States,North America,17,2001,0.572,KKR, ES Ventures, North Bridge Growth Equity,,"KKR, ES Ventures, North Bridge Growth Equity"
ServiceTitan,10,11/14/18,2018,11,14,Internet software & services,Glendale,United States,North America,6,2012,1,Bessemer Venture Partners, ICONIQ Capital, Battery Ventures,,"Bessemer Venture Partners, ICONIQ Capital, Battery Ventures"
Alchemy,10,10/28/21,2021,10,28,Fintech,San Francisco,United States,North America,4,2017,0.564,DFJ Growth Fund, Coatue Management, Addition,,"DFJ Growth Fund, Coatue Management, Addition"
Chehaoduo,10,3/12/16,2016,03,12,E-commerce & direct-to-consumer,Beijing,China,Asia,1,2015,4,Sequoia Capital China, GX Capital,,,"Sequoia Capital China, GX Capital"
Digital Currency Group,10,11/1/21,2021,11,01,Fintech,New York,United States,North America,6,2015,1,Ribbit Capital, capitalG, Softbank Group,,"Ribbit Capital, capitalG, Softbank Group"
Figma,10,4/30/20,2020,04,30,Internet software & services,San Francisco,United States,North America,8,2012,0.333,Index Ventures, Greylock Partners, Kleiner Perkins Caufield & Byers,,"Index Ventures, Greylock Partners, Kleiner Perkins Caufield & Byers"
Gusto,10,12/18/15,2015,12,18,Fintech,San Francisco,United States,North America,4,2011,0.691,General Catalyst Partners, Google Ventures, Kleiner Perkins Caufield & Byers,,"General Catalyst Partners, Google Ventures, Kleiner Perkins Caufield & Byers"
Lalamove,10,2/21/19,2019,02,21,"Supply chain, logistics, & delivery",Cheung Sha Wan,Hong Kong,Asia,6,2013,2,MindWorks Ventures, Shunwei Capital Partners, Xiang He Capital,,"MindWorks Ventures, Shunwei Capital Partners, Xiang He Capital"
Notion Labs,10,4/1/20,2020,04,01,Internet software & services,San Francisco,United States,North America,4,2016,0.343,Index Ventures, Draft Ventures, Felicis Ventures,,"Index Ventures, Draft Ventures, Felicis Ventures"
reddit,10,7/31/17,2017,07,31,Internet software & services,San Francisco,United States,North America,12,2005,1,Y Combinator, Sequoia Capital, Coatue Management,,"Y Combinator, Sequoia Capital, Coatue Management"
Talkdesk,10,10/3/18,2018,10,03,Internet software & services,San Francisco,United States,North America,7,2011,0.497,DJF, Salesforce Ventures, Storm Ventures,,"DJF, Salesforce Ventures, Storm Ventures"
Thrasio,10,7/15/20,2020,07,15,Other,Walpole,United States,North America,2,2018,2,Upper90, RiverPark Ventures, Advent International,,"Upper90, RiverPark Ventures, Advent International"
Dunamu,9,7/22/21,2021,07,22,Fintech,Seoul,South Korea,Asia,9,2012,0.071,Qualcomm Ventures, Woori Investment, Hanwha Investment & Securities,,"Qualcomm Ventures, Woori Investment, Hanwha Investment & Securities"
Yanolja,9,6/10/19,2019,06,10,Travel,Seoul,South Korea,Asia,14,2005,2,SBI Investment Korea, Partners Investment, GIC,,"SBI Investment Korea, Partners Investment, GIC"
Pony.ai,9,7/11/18,2018,07,11,Artificial intelligence,Fremont,United States,North America,2,2016,1,Sequoia Capital China, IDG Capital, DCM Ventures,,"Sequoia Capital China, IDG Capital, DCM Ventures"
Nuro,9,2/11/19,2019,02,11,Auto & transportation,Mountain View,United States,North America,3,2016,2,SoftBank Group, Greylock Partners, Gaorong Capital,,"SoftBank Group, Greylock Partners, Gaorong Capital"
Snyk,9,1/21/20,2020,01,21,Cybersecurity,Boston,United States,North America,5,2015,1,BOLDstart Ventures, Google Ventures, Accel,,"BOLDstart Ventures, Google Ventures, Accel"
Kavak,9,10/1/20,2020,10,01,E-commerce & direct-to-consumer,Lerma de Villada,Mexico,North America,4,2016,2,DST Global, SoftBank Group, Mountain Nazca,,"DST Global, SoftBank Group, Mountain Nazca"
N26,9,1/10/19,2019,01,10,Fintech,Berlin,Germany,Europe,6,2013,2,Redalpine Venture Partners, Earlybird Venture Capital, Valar Ventures,,"Redalpine Venture Partners, Earlybird Venture Capital, Valar Ventures"
Klaviyo,9,11/17/20,2020,11,17,Internet software & services,Boston,United States,North America,8,2012,0.679,Summit Partners, Accel, Astral Capital,,"Summit Partners, Accel, Astral Capital"
Niantic,9,11/24/17,2017,11,24,Mobile & telecommunications,San Francisco,United States,North America,2,2015,0.77,Nintendo, Google, Pokemon Company International, Spark Capital,"Nintendo, Google, Pokemon Company International, Spark Capital"
Tanium,9,3/31/15,2015,03,31,Cybersecurity,Kirkland,United States,North America,8,2007,0.775,Andreessen Horowitz, Nor-Cal Invest, TPG Growth,,"Andreessen Horowitz, Nor-Cal Invest, TPG Growth"
Dream11,8,4/9/19,2019,04,09,Internet software & services,Mumbai,India,Asia,12,2007,2,Kaalari Capital, Tencent Holdings, Steadview Capital,,"Kaalari Capital, Tencent Holdings, Steadview Capital"
DJI Innovations,8,1/23/15,2015,01,23,Hardware,Shenzhen,China,Asia,9,2006,0.105,Accel Partners, Sequoia Capital,,,"Accel Partners, Sequoia Capital"
Netskope,8,11/13/18,2018,11,13,Cybersecurity,Santa Clara,United States,North America,6,2012,1,Lightspeed Venture Partners, Social Capital, Accel,,"Lightspeed Venture Partners, Social Capital, Accel"
Razorpay,8,10/11/20,2020,10,11,Fintech,Bengaluru,India,Asia,7,2013,0.742,Sequoia Capital India, Tiger Global Management, Matrix Partners India,,"Sequoia Capital India, Tiger Global Management, Matrix Partners India"
Dapper Labs,8,3/30/21,2021,03,30,Fintech,Vancouver,Canada,North America,3,2018,0.607,Union Square Ventures, Venrock, Andreessen Horowitz,,"Union Square Ventures, Venrock, Andreessen Horowitz"
Lacework,8,1/7/21,2021,01,07,Cybersecurity,San Jose,United States,North America,6,2015,2,Sutter Hill Ventures, Liberty Global Ventures, Coatue Management,,"Sutter Hill Ventures, Liberty Global Ventures, Coatue Management"
Tipalti,8,10/6/20,2020,10,06,Fintech,San Mateo,United States,North America,10,2010,0.549,01 Advisors, Zeev Ventures, Group 11,,"01 Advisors, Zeev Ventures, Group 11"
Hopin,8,11/10/20,2020,11,10,Internet software & services,London,United Kingdom,Europe,1,2019,1,Accel, Northzone Ventures, Institutional Venture Partners,,"Accel, Northzone Ventures, Institutional Venture Partners"
Caris Life Sciences,8,5/12/21,2021,05,12,Health,Irving,United States,North America,25,1996,1,Sixth Street Partners, OrbiMed Advisors, Highland Capital Management,,"Sixth Street Partners, OrbiMed Advisors, Highland Capital Management"
Ramp,8,3/29/21,2021,03,29,Fintech,New York,United States,North America,2,2019,0.66,D1 Capital Partners, Stripe, Coatue Management,,"D1 Capital Partners, Stripe, Coatue Management"
Tempus,8,3/21/18,2018,03,21,Health,Chicago,United States,North America,3,2015,0.82,New Enterprise Associates, T. Rowe Associates, Lightbank,,"New Enterprise Associates, T. Rowe Associates, Lightbank"
Fireblocks,8,7/27/21,2021,07,27,Fintech,New York,United States,North America,3,2018,1,Tenaya Capital, Coatue Management, Stripes Group,,"Tenaya Capital, Coatue Management, Stripes Group"
Flexport,8,4/30/18,2018,04,30,"Supply chain, logistics, & delivery",San Francisco,United States,North America,5,2013,2,Bloomberg Beta, Founders Fund, First Round Capital,,"Bloomberg Beta, Founders Fund, First Round Capital"
National Stock Exchange of India,7,7/1/20,2020,07,01,Fintech,Mumbai,India,Asia,22,1998,0.297,TA Associates, SoftBank Group, GS Growth,,"TA Associates, SoftBank Group, GS Growth"
Meicai,7,6/22/16,2016,06,22,Mobile & telecommunications,Beijing,China,Asia,2,2014,1,Tiger Global Management, Blue Lake Capital, ZhenFund,,"Tiger Global Management, Blue Lake Capital, ZhenFund"
Impossible Foods,7,5/13/19,2019,05,13,Consumer & retail,Redwood City,United States,North America,8,2011,2,Khosla Ventures, Horizons Ventures, Temasek Holdings,,"Khosla Ventures, Horizons Ventures, Temasek Holdings"
CRED,7,4/6/21,2021,04,06,Fintech,Bengaluru,India,Asia,3,2018,0.922,Tiger Global Management, DST Global, Sequoia Capital India,,"Tiger Global Management, DST Global, Sequoia Capital India"
Attentive,7,9/23/20,2020,09,23,Mobile & telecommunications,Hoboken,United States,North America,4,2016,0.863,NextView Ventures, Eniac Ventures, Sequoia Capital,,"NextView Ventures, Eniac Ventures, Sequoia Capital"
Ola Cabs,7,10/27/14,2014,10,27,Auto & transportation,Bengaluru,India,Asia,4,2010,4,Accel Partners, SoftBank Group, Sequoia Capital,,"Accel Partners, SoftBank Group, Sequoia Capital"
Rippling,7,8/4/20,2020,08,04,Internet software & services,San Francisco,United States,North America,3,2017,0.447,Initialized Capital, Y Combinator, Kleiner Perkins Caufield & Byers,,"Initialized Capital, Y Combinator, Kleiner Perkins Caufield & Byers"
Carta,7,5/6/19,2019,05,06,Fintech,San Francisco,United States,North America,7,2012,1,Menlo Ventures, Spark Capital, Union Square Ventures,,"Menlo Ventures, Spark Capital, Union Square Ventures"
Toss,7,12/9/18,2018,12,09,Fintech,Seoul,South Korea,Asia,5,2013,0.844,Bessemer Venture Partners, Qualcomm Ventures, Kleiner Perkins Caufield & Byers,,"Bessemer Venture Partners, Qualcomm Ventures, Kleiner Perkins Caufield & Byers"
Ziroom,7,1/17/18,2018,01,17,E-commerce & direct-to-consumer,Beijing,China,Asia,7,2011,2,Sequoia Capital China, Warburg Pincus, General Catalyst,,"Sequoia Capital China, Warburg Pincus, General Catalyst"
Scale AI,7,8/5/19,2019,08,05,Artificial intelligence,San Francisco,United States,North America,1,2018,0.603,Accel, Y Combinator, Index Ventures,,"Accel, Y Combinator, Index Ventures"
Gong,7,8/12/20,2020,08,12,Artificial intelligence,Palo Alto,United States,North America,5,2015,0.583,Norwest Venture Partners, Next World Capital, Wing Venture Capital,,"Norwest Venture Partners, Next World Capital, Wing Venture Capital"
TripActions,7,11/8/18,2018,11,08,Travel,Palo Alto,United States,North America,3,2015,0.912,Andreessen Horowitz, Lightspeed Venture Partners, Zeev Ventures,,"Andreessen Horowitz, Lightspeed Venture Partners, Zeev Ventures"
1Password,7,7/8/21,2021,07,08,Cybersecurity,Toronto,Canada,North America,16,2005,0.92,Slack Fund, Accel, Skip Capital,,"Slack Fund, Accel, Skip Capital"
Automation Anywhere,7,7/2/18,2018,07,02,Artificial intelligence,San Jose,United States,North America,15,2003,0.849,General Atlantic, Goldman Sachs, New Enterprise Associates,,"General Atlantic, Goldman Sachs, New Enterprise Associates"
Gemini,7,11/19/21,2021,11,19,Fintech,New York,United States,North America,6,2015,0.424,Morgan Creek Digital, Marcy Venture Partners, 10T Fund,,"Morgan Creek Digital, Marcy Venture Partners, 10T Fund"
ConsenSys,7,11/17/21,2021,11,17,Fintech,New York,United States,North America,7,2014,0.66,Third Point, Electric Capital, Coinbase Ventures,,"Third Point, Electric Capital, Coinbase Ventures"
Ro,7,7/27/20,2020,07,27,Health,New York,United States,North America,3,2017,1,Initialized Capital, General Catalyst, SignalFire,,"Initialized Capital, General Catalyst, SignalFire"
Black Unicorn Factory,6,5/20/21,2021,05,20,Other,Los Angeles,United States,North America,1,2020,0.645,Barter Ventures,,,,Barter Ventures
Easyhome,6,2/12/18,2018,02,12,Consumer & retail,Beijing,China,Asia,19,1999,2,Alibaba Group, Boyu Capital, Borui Capital,,"Alibaba Group, Boyu Capital, Borui Capital"
WeDoctor,6,9/22/15,2015,09,22,Health,Hangzhou,China,Asia,5,2010,1,Tencent, Morningside Group,,,"Tencent, Morningside Group"
SVOLT,6,6/8/20,2020,06,08,Auto & transportation,Changzhou,China,Asia,2,2018,3,IDG Capital, Bank Of China Group Investment,, SDIC CMC Investment Management,"IDG Capital, Bank Of China Group Investment,, SDIC CMC Investment Management"
Airwallex,6,3/25/19,2019,03,25,Fintech,Melbourne,Australia,Oceania,4,2015,0.802,DST Global, Sequoia Capital China, Tencent Holdings,,"DST Global, Sequoia Capital China, Tencent Holdings"
Deel,6,4/21/21,2021,04,21,Fintech,San Francisco,United States,North America,3,2018,0.629,Andreessen Horowitz, Spark Capital, Y Combinator,,"Andreessen Horowitz, Spark Capital, Y Combinator"
Mambu,6,1/6/21,2021,01,06,Fintech,Amsterdam,Netherlands,Europe,10,2011,0.448,Runa Capital, Acton Capital Partners, Point Nine Capital,,"Runa Capital, Acton Capital Partners, Point Nine Capital"
Mollie,6,9/8/20,2020,09,08,Fintech,Amsterdam,Netherlands,Europe,16,2004,0.928,Technology Crossover Ventures,,,,Technology Crossover Ventures
Doctolib,6,3/19/19,2019,03,19,Health,Paris,France,Europe,6,2013,0.815,BPI France, Kerala Ventures, Accel,,"BPI France, Kerala Ventures, Accel"
FiveTran,6,6/30/20,2020,06,30,Data management & analytics,Oakland,United States,North America,8,2012,0.728,Matrix Partners, Andreessen Horowitz, General Catalyst,,"Matrix Partners, Andreessen Horowitz, General Catalyst"
Postman,6,6/11/20,2020,06,11,Internet software & services,San Francisco,United States,North America,6,2014,0.433,Nexus Venture Partners, CRV, Insight Partners,,"Nexus Venture Partners, CRV, Insight Partners"
Back Market,6,5/18/21,2021,05,18,E-commerce & direct-to-consumer,Paris,France,Europe,7,2014,1,Aglae Ventures, Eurazeo, Daphni,,"Aglae Ventures, Eurazeo, Daphni"
Cityblock Health,6,12/10/20,2020,12,10,Health,Brooklyn,United States,North America,3,2017,0.891,Thrive Capital, Maverick Ventures, Redpoint Ventures,,"Thrive Capital, Maverick Ventures, Redpoint Ventures"
DataRobot,6,7/29/19,2019,07,29,Artificial intelligence,Boston,United States,North America,7,2012,1,New Enterprise Associates, Accomplice, IA Ventures,,"New Enterprise Associates, Accomplice, IA Ventures"
Personio,6,1/19/21,2021,01,19,Internet software & services,Munich,Germany,Europe,6,2015,0.524,Global Founders Capital, Nortzone Ventures, Picus Capital,,"Global Founders Capital, Nortzone Ventures, Picus Capital"
RELEX Solutions,6,2/17/22,2022,02,17,"Supply chain, logistics, & delivery",Helsinki,Finland,Europe,17,2005,0.803,Blackstone, Technology Crossover Ventures, Summit Partners,,"Blackstone, Technology Crossover Ventures, Summit Partners"
Vice Media,6,4/2/11,2011,04,02,Internet software & services,Brooklyn,United States,North America,17,1994,1,Technology Crossover Ventures, A&E Television Networks,,,"Technology Crossover Ventures, A&E Television Networks"
Workato,6,1/12/21,2021,01,12,Internet software & services,Mountain View,United States,North America,8,2013,0.415,Battery Ventures, Storm Ventures, Redpoint Ventures,,"Battery Ventures, Storm Ventures, Redpoint Ventures"
Upgrade,6,2/12/18,2018,02,12,Fintech,San Francisco,United States,North America,2,2016,0.587,Union Square Ventures, Ribbit Capital, VY Capital,,"Union Square Ventures, Ribbit Capital, VY Capital"
Lianjia,6,4/7/16,2016,04,07,E-commerce & direct-to-consumer,Beijing,China,Asia,15,2001,1,Tencent, Baidu, Huasheng Capital,,"Tencent, Baidu, Huasheng Capital"
Hinge Health,6,1/6/21,2021,01,06,Health,San Francisco,United States,North America,6,2015,0.826,Atomico, Insight Partners, Coatue Management,,"Atomico, Insight Partners, Coatue Management"
Lyra Health,6,8/25/20,2020,08,25,Health,Burlingame,United States,North America,5,2015,0.91,Greylock Partners, Venrock, Providence Ventures,,"Greylock Partners, Venrock, Providence Ventures"
Benchling,6,4/14/21,2021,04,14,Internet software & services,San Francisco,United States,North America,9,2012,0.412,Thrive Capital, Benchmark, MenloVentures,,"Thrive Capital, Benchmark, MenloVentures"
Better.com,6,11/10/20,2020,11,10,Fintech,New York,United States,North America,2,2018,0.405,Pine Brook, American Express Ventures, Kleiner Perkins Caufield & Byers,,"Pine Brook, American Express Ventures, Kleiner Perkins Caufield & Byers"
iCapital Network,6,7/27/21,2021,07,27,Fintech,New York,United States,North America,8,2013,0.729,BlackRock, Blackstone, UBS,,"BlackRock, Blackstone, UBS"
Wiz,6,3/17/21,2021,03,17,Cybersecurity,Tel Aviv,Israel,Asia,1,2020,0.6,Insight Partners, Sequoia Capital, Index Ventures,,"Insight Partners, Sequoia Capital, Index Ventures"
DailyHunt,5,12/22/20,2020,12,22,Internet software & services,Bengaluru,India,Asia,13,2007,0.869,Falcon Edge Capital, Omidyar Network, Sequoia Capital India,,"Falcon Edge Capital, Omidyar Network, Sequoia Capital India"
Howden Group Holdings,5,9/29/20,2020,09,29,Other,London,United Kingdom,Europe,26,1994,0.187,General Atlantic, 3i Group, Huagai Capital,,"General Atlantic, 3i Group, Huagai Capital"
Meesho,5,4/5/21,2021,04,05,Internet software & services,Bengaluru,India,Asia,6,2015,1,Venture Highway, Sequoia Capital India, Prosus Ventures,,"Venture Highway, Sequoia Capital India, Prosus Ventures"
Meizu Technology,5,7/23/14,2014,07,23,Hardware,Zhuhai,China,Asia,11,2003,0.943,Telling Telecommunication Holding Co., Alibaba Group,,,"Telling Telecommunication Holding Co., Alibaba Group"
CloudWalk Technology,5,10/8/18,2018,10,08,Artificial intelligence,Guangzhou,China,Asia,3,2015,0.514,Oriza Holdings, Guangdong Technology Financial Group,,,"Oriza Holdings, Guangdong Technology Financial Group"
Royole Corporation,5,8/18/15,2015,08,18,Hardware,Shenzhen,China,Asia,3,2012,0.492,Warmsun Holding, IDG Capital Partners,,,"Warmsun Holding, IDG Capital Partners"
Monzo,5,10/31/18,2018,10,31,Fintech,London,United Kingdom,Europe,3,2015,1,Passion Capital, Thrive Capital, Orange Digital Ventures,,"Passion Capital, Thrive Capital, Orange Digital Ventures"
Socure,5,3/16/21,2021,03,16,Cybersecurity,New York,United States,North America,9,2012,0.644,Two Sigma Ventures, Flint Capital, Commerce Ventures,,"Two Sigma Ventures, Flint Capital, Commerce Ventures"
VIPKid,5,8/4/16,2016,08,04,Edtech,Beijing,China,Asia,3,2013,1,Sequoia Capital China, Tencent Holdings, Sinovation Ventures,,"Sequoia Capital China, Tencent Holdings, Sinovation Ventures"
