Company,Valuation ($B),Date Joined,Year Joined,Month Joined,Day Joined,Industry,City,Country,Continent,Years to Unicorn,Year Founded,Funding ($B),Investor 1,Investor 2,Investor 3,Investor 4,Investors
Evidation,1,3/22/21,2021,03,22,Health,San Mateo,United States,North America,9,2012,0.259,B Capital Group,, GE Ventures, McKesson Ventures,"B Capital Group,, GE Ventures, McKesson Ventures"
Expel,1,11/18/21,2021,11,18,Cybersecurity,Herndon,United States,North America,5,2016,0.258,Paladin Capital Group, Greycroft, Scale Venture Partners,,"Paladin Capital Group, Greycroft, Scale Venture Partners"
Fabric,1,10/26/21,2021,10,26,"Supply chain, logistics, & delivery",New York,United States,North America,6,2015,0.294,Innovation Endeavors, Aleph, Temasek,,"Innovation Endeavors, Aleph, Temasek"
Feedzai,1,3/24/21,2021,03,24,Artificial intelligence,San Mateo,United States,North America,12,2009,0.277,Global Founders Capital, Shea Ventures, Greycroft,,"Global Founders Capital, Shea Ventures, Greycroft"
Fever Labs,1,1/26/22,2022,01,26,Internet software & services,New York,United States,North America,10,2012,0.299,Accel, 14W, GS Growth,,"Accel, 14W, GS Growth"
Fiture,1,4/14/21,2021,04,14,Health,Chengdu,China,Asia,2,2019,0.391,Bertelsmann Asia Investments, Sequoia Capital China, NIO Capital,,"Bertelsmann Asia Investments, Sequoia Capital China, NIO Capital"
FLASH,1,3/16/22,2022,03,16,Fintech,Austin,United States,North America,11,2011,0.314,L Catterton, Trellis Partners, Vista Equity Partners,,"L Catterton, Trellis Partners, Vista Equity Partners"
Flash Express,1,2/1/21,2021,02,01,"Supply chain, logistics, & delivery",Bangkok,Thailand,Asia,4,2017,0.35,SCB 10X, Krungsri Finnovate, eWTP Capital,,"SCB 10X, Krungsri Finnovate, eWTP Capital"
FlashEx,1,8/27/18,2018,08,27,"Supply chain, logistics, & delivery",Beijing,China,Asia,4,2014,0.359,Prometheus Capital, Matrix Partners China, JD Capital Management,,"Prometheus Capital, Matrix Partners China, JD Capital Management"
Fractal Analytics,1,1/5/22,2022,01,05,Data management & analytics,Mumbai,India,Asia,22,2000,0.685,TPG Capital, Apax Partners, TA Associates,,"TPG Capital, Apax Partners, TA Associates"
Freshbooks,1,8/10/21,2021,08,10,Fintech,Toronto,Canada,North America,17,2004,0.156,Accomplice, Oak Investment Partners, Georgian Partners,,"Accomplice, Oak Investment Partners, Georgian Partners"
FXiaoKe,1,7/2/15,2015,07,02,Mobile & telecommunications,Beijing,China,Asia,4,2011,0.283,IDG Capital, Northern Light Venture Capital, DCM Ventures,,"IDG Capital, Northern Light Venture Capital, DCM Ventures"
Gauntlet Networks,1,3/7/22,2022,03,07,Fintech,New York,United States,North America,4,2018,0.045,Polychain Capital, Paradigm, Ribbit Capital,,"Polychain Capital, Paradigm, Ribbit Capital"
Geek+,1,11/21/18,2018,11,21,Hardware,Beijing,China,Asia,3,2015,0.439,Volcanics Ventures, Vertex Ventures China, Warburg Pincus,,"Volcanics Ventures, Vertex Ventures China, Warburg Pincus"
Gelato,1,8/16/21,2021,08,16,E-commerce & direct-to-consumer,Oslo,Norway,Europe,14,2007,0.269,Greylock Partners, Google Ventures, BlackRock,,"Greylock Partners, Google Ventures, BlackRock"
Glia,1,3/21/22,2022,03,21,Fintech,New York,United States,North America,10,2012,0.152,Wildcat Capital Management, Insight Partners, Tola Capital,,"Wildcat Capital Management, Insight Partners, Tola Capital"
GO1,1,7/19/21,2021,07,19,Internet software & services,Brisbane,Australia,Oceania,6,2015,0.284,Y Combinator, M12, SEEK,,"Y Combinator, M12, SEEK"
Groq,1,4/14/21,2021,04,14,Artificial intelligence,Mountain View,United States,North America,5,2016,0.362,TDK Ventures, Social Capital, D1 Capital Partners,,"TDK Ventures, Social Capital, D1 Capital Partners"
Hailo,1,10/12/21,2021,10,12,Artificial intelligence,Tel Aviv,Israel,Asia,4,2017,0.221,Glory Ventures, Maniv Mobility,,,"Glory Ventures, Maniv Mobility"
Haomao.AI,1,12/22/21,2021,12,22,Artificial Intelligence,Beijing,China,Asia,2,2019,0.157,Qualcomm Ventures, Nine Intelligence Capital, Hillhouse Capital Management,,"Qualcomm Ventures, Nine Intelligence Capital, Hillhouse Capital Management"
Hasura,1,2/22/22,2022,02,22,Internet software & services,Bengaluru,India,Asia,5,2017,0.137,Nexus Venture Partners, Vertex Ventures, STRIVE,,"Nexus Venture Partners, Vertex Ventures, STRIVE"
HAYDON,1,9/24/21,2021,09,24,Consumer & retail,Shanghai,China,Asia,1,2020,0.1,Tencent Holdings, Hillhouse Capital Management,,,"Tencent Holdings, Hillhouse Capital Management"
Heyday,1,11/16/21,2021,11,16,E-commerce & direct-to-consumer,Chicago,United States,North America,4,2017,0.8,Khosla Ventures,General Catalyst, Victory Park Capital,,"Khosla Ventures,General Catalyst, Victory Park Capital"
HMD Global,1,5/21/18,2018,05,21,Mobile & telecommunications,Espoo,Finland,Europe,2,2016,0.33,Ginko Ventures,,,,Ginko Ventures
Hotmart,1,3/17/20,2020,03,17,E-commerce & direct-to-consumer,Amsterdam,Netherlands,Europe,9,2011,0.127,Technology Crossover Ventures, Alkeon Capital Management, General Atlantic,,"Technology Crossover Ventures, Alkeon Capital Management, General Atlantic"
Huike Group,1,5/24/18,2018,05,24,Edtech,Beijing,China,Asia,8,2010,0.302,Fosun RZ Capital, Oceanwide Holdings, Shenzhen Qianhe Capital Management Co.,,"Fosun RZ Capital, Oceanwide Holdings, Shenzhen Qianhe Capital Management Co."
Human Interest,1,8/4/21,2021,08,04,Fintech,San Francisco,United States,North America,6,2015,0.337,Wing Venture Capital, Slow Ventures, Uncork Capital,,"Wing Venture Capital, Slow Ventures, Uncork Capital"
Ibotta,1,8/6/19,2019,08,06,Fintech,Denver,United States,North America,8,2011,0.093,Koch Disruptive Technologies, Teamworthy Ventures, GGV Capital,,"Koch Disruptive Technologies, Teamworthy Ventures, GGV Capital"
iCarbonX,1,4/12/16,2016,04,12,Artificial intelligence,Shenzhen,China,Asia,1,2015,0.2,Tencent, Vcanbio,,,"Tencent, Vcanbio"
iFood,1,11/13/18,2018,11,13,"Supply chain, logistics, & delivery",Osasco,Brazil,South America,7,2011,0.592,Movile, Just Eat, Naspers,,"Movile, Just Eat, Naspers"
InFarm,1,12/16/21,2021,12,16,Other,Berlin,Germany,Europe,8,2013,0.6,Atomico, Hanaco Venture Capital, TriplePoint Capital,,"Atomico, Hanaco Venture Capital, TriplePoint Capital"
Infobip,1,7/30/20,2020,07,30,Mobile & telecommunications,Vodnjan,Croatia,Europe,14,2006,0.2,One Equity Partners,,,,One Equity Partners
Injective Protocol,1,4/20/21,2021,04,20,Fintech,New York,United States,North America,3,2018,0.017,Pantera Capital, Cadenza Ventures, BlockTower Capital,,"Pantera Capital, Cadenza Ventures, BlockTower Capital"
Intellifusion,1,3/22/19,2019,03,22,Artificial intelligence,Shenzhen,China,Asia,5,2014,0.173,BOC International, TopoScend Capital, Hongxiu VC,,"BOC International, TopoScend Capital, Hongxiu VC"
Interos,1,7/22/21,2021,07,22,Fintech,Arlington,United States,North America,16,2005,0.135,Kleiner Perkins Caufield & Byers, NightDragon Security, Venrock,,"Kleiner Perkins Caufield & Byers, NightDragon Security, Venrock"
Iodine Software,1,12/1/21,2021,12,01,Data management & analytics,Austin,United States,North America,11,2010,0.557,Advent International, Bain Capital Ventures, Silversmith Capital Partners,,"Advent International, Bain Capital Ventures, Silversmith Capital Partners"
JoyTunes,1,6/21/21,2021,06,21,Edtech,Tel Aviv,Israel,Asia,10,2011,0.092,Genesis Partners, Aleph, Insight Partners,,"Genesis Partners, Aleph, Insight Partners"
Kendra Scott,1,12/21/16,2016,12,21,Consumer & retail,Austin,United States,North America,14,2002,0.557,Berkshire Partners, Norwest Venture Partners,,,"Berkshire Partners, Norwest Venture Partners"
Kitopi,1,7/1/21,2021,07,01,"Supply chain, logistics, & delivery",Dubai,United Arab Emirates,Asia,3,2018,0.504,CE-Ventures, BECO Capital, Nordstar,,"CE-Ventures, BECO Capital, Nordstar"
KnowBox,1,5/30/19,2019,05,30,Edtech,Beijing,China,Asia,5,2014,0.306,TAL Education Group, Legend Star, Alibaba Group,,"TAL Education Group, Legend Star, Alibaba Group"
Kopi Kenangan,1,12/27/21,2021,12,27,Consumer & retail,Jakarta,Indonesia,Asia,4,2017,0.333,Horizons Ventures, Sequoia Capital India, Alpha JWC Ventures,,"Horizons Ventures, Sequoia Capital India, Alpha JWC Ventures"
Lamabang,1,3/6/15,2015,03,06,E-commerce & direct-to-consumer,Shenzhen,China,Asia,4,2011,0.13,5Y Capital, Matrix Partners China, K2VC,,"5Y Capital, Matrix Partners China, K2VC"
LayerZero Labs,1,3/30/22,2022,03,30,Internet software & services,New York,United States,North America,1,2021,0.143,Andreessen Horowitz, FTX Ventures, Tiger Global Management,,"Andreessen Horowitz, FTX Ventures, Tiger Global Management"
Lessen,1,11/30/21,2021,11,30,Internet software & services,Scottsdale,United States,North America,2,2019,0.205,Khosla Ventures, General Catalyst, Navitas Capital,,"Khosla Ventures, General Catalyst, Navitas Capital"
LetsGetChecked,1,6/7/21,2021,06,07,Health,Dublin,Ireland,Europe,6,2015,0.263,Optum Ventures, Qiming Venture Partners, Transformation Capital,,"Optum Ventures, Qiming Venture Partners, Transformation Capital"
Licious,1,10/5/21,2021,10,05,E-commerce & direct-to-consumer,Bengaluru,India,Asia,6,2015,0.489,3one4 Capital Partners, Bertelsmann India Investments, Vertex Ventures SE Asia,,"3one4 Capital Partners, Bertelsmann India Investments, Vertex Ventures SE Asia"
LinkDoc Technology,1,7/5/18,2018,07,05,Health,Beijing,China,Asia,4,2014,0.253,China Investment Corporation, New Enterprise Associates,,,"China Investment Corporation, New Enterprise Associates"
Locus Robotics,1,2/17/21,2021,02,17,Hardware,Wilmington,United States,North America,7,2014,0.299,Scale Venture Partners, Bond, Tiger Global Management,,"Scale Venture Partners, Bond, Tiger Global Management"
Lookout,1,10/10/13,2013,10,10,Cybersecurity,San Francisco,United States,North America,6,2007,0.282,Accel Partners, Greylock Partners, Lowercase Capital,,"Accel Partners, Greylock Partners, Lowercase Capital"
Lydia,1,12/8/21,2021,12,08,Fintech,Paris,France,Europe,10,2011,0.263,NewAlpha, XAnge Private Equity, Tencent Holdings,,"NewAlpha, XAnge Private Equity, Tencent Holdings"
MadeiraMadeira,1,1/7/21,2021,01,07,E-commerce & direct-to-consumer,Parana,Brazil,South America,12,2009,0.336,Flybridge Capital Partners, SoftBank Group, Monashees+,,"Flybridge Capital Partners, SoftBank Group, Monashees+"
Maimai,1,11/15/17,2017,11,15,Mobile & telecommunications,Beijing,China,Asia,4,2013,0.3,Morningside Venture Capital, IDG Capital, DCM Ventures,,"Morningside Venture Capital, IDG Capital, DCM Ventures"
Mammoth Biosciences,1,9/9/21,2021,09,09,Health,Brisbane,United States,North America,4,2017,0.265,NFX, Plum Alley, Mayfield,,"NFX, Plum Alley, Mayfield"
Masterworks,1,10/5/21,2021,10,05,Fintech,New York,United States,North America,4,2017,0.11,Left Lane Capital, Galaxy Interactive, Tru Arrow Partners,,"Left Lane Capital, Galaxy Interactive, Tru Arrow Partners"
